@relation 'data/training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R1-5,11-12,23-33,35-weka.filters.unsupervised.attribute.Remove-R5'

@attribute legal_actions_N {True,False}
@attribute legal_actions_S {True,False}
@attribute legal_actions_E {True,False}
@attribute legal_actions_W {True,False}
@attribute mov_ver numeric
@attribute mov_hor numeric
@attribute min_distancia_norte numeric
@attribute min_distancia_sur numeric
@attribute min_distancia_oeste numeric
@attribute min_distancia_este numeric
@attribute num_ghost_N numeric
@attribute num_ghost_S numeric
@attribute num_ghost_W numeric
@attribute num_ghost_E numeric
@attribute nearest_food numeric
@attribute action {North,South,West,East,Stop}

@data
True,True,True,True,1,2,2,3,7,1,2,2,2,2,7,East
True,True,True,True,0,1,1,4,8,1,2,2,2,1,6,East
True,True,True,True,0,1,1,4,2,999999,2,2,3,0,5,East
True,True,True,True,2,1,1,4,2,999999,2,2,4,0,4,East
True,True,True,True,4,1,1,5,4,999999,2,2,4,0,3,East
True,True,True,True,5,1,1,4,5,999999,2,2,4,0,2,East
True,True,False,True,6,1,1,4,6,999999,2,2,4,0,1,Stop
True,True,False,True,6,1,1,3,6,999999,2,2,4,0,-1,South
True,True,False,True,6,2,2,2,6,999999,2,2,4,0,-1,South
True,True,False,True,6,1,3,1,6,999999,2,2,4,0,-1,South
True,True,False,True,7,1,4,1,7,999999,2,2,4,0,-1,South
True,True,False,True,7,0,5,1,7,999999,2,1,4,0,-1,West
True,True,True,True,5,0,6,999999,5,999999,2,0,4,0,-1,West
True,True,True,True,5,0,1,999999,5,999999,3,0,4,0,-1,West
True,True,True,True,4,0,6,1,4,999999,2,1,4,0,-1,West
True,True,True,True,3,0,6,2,3,999999,2,1,4,0,-1,West
True,True,True,True,3,0,6,2,3,999999,2,1,4,0,-1,West
True,True,True,True,1,1,6,1,1,999999,2,2,4,0,-1,South
True,True,True,True,2,1,1,1,2,999999,3,1,4,0,-1,South
True,True,True,True,2,1,3,1,2,999999,3,1,4,0,-1,West
True,True,True,True,1,1,4,1,1,999999,3,1,4,0,-1,West
True,True,True,True,1,1,5,1,1,1,3,1,3,1,-1,West
True,True,True,True,0,1,5,1,4,3,3,1,2,1,-1,West
True,True,True,True,1,0,5,999999,3,1,3,0,2,2,-1,South
True,False,True,True,1,2,2,999999,4,1,4,0,2,2,-1,East
True,False,True,True,1,1,1,999999,1,3,4,0,3,1,-1,East
True,False,True,True,2,2,2,999999,3,2,4,0,3,1,-1,East
True,False,True,True,1,2,2,999999,4,1,4,0,3,1,-1,North
True,True,True,True,0,1,1,999999,4,999999,4,0,3,0,-1,North
True,True,True,True,4,3,3,999999,4,999999,3,0,3,0,-1,North
True,True,True,True,5,1,1,999999,5,999999,3,0,3,0,-1,East
True,True,True,True,5,2,2,999999,5,999999,3,0,3,0,-1,East
True,True,True,True,6,2,2,999999,6,999999,3,0,3,0,-1,West
True,True,True,True,4,2,2,999999,4,999999,3,0,3,0,-1,West
True,True,True,True,3,3,3,999999,3,999999,3,0,3,0,-1,West
True,True,True,True,2,3,3,999999,2,999999,3,0,3,0,-1,West
True,True,True,True,1,3,3,999999,1,999999,3,0,3,0,-1,West
