@relation 'data/training_tutorial.arff-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R1-5,10-12,23-33,35'

@attribute legal_actions_N {True,False}
@attribute legal_actions_S {True,False}
@attribute legal_actions_E {True,False}
@attribute legal_actions_W {True,False}
@attribute mov_ver numeric
@attribute mov_hor numeric
@attribute min_distancia_norte numeric
@attribute min_distancia_sur numeric
@attribute min_distancia_oeste numeric
@attribute min_distancia_este numeric
@attribute num_ghost_N numeric
@attribute num_ghost_S numeric
@attribute num_ghost_W numeric
@attribute num_ghost_E numeric
@attribute nearest_food numeric
@attribute action {North,South,West,East,Stop}

@data
True,True,True,True,1,2,2,4,7,1,2,2,2,2,7,North
True,True,True,True,1,1,1,5,8,1,2,2,2,2,8,North
True,True,True,True,2,0,999999,6,7,2,0,2,2,1,9,West
True,True,True,True,4,0,999999,6,6,4,0,2,2,1,10,West
True,True,True,True,4,0,999999,6,4,5,0,2,2,1,11,West
True,True,True,True,2,0,999999,5,2,6,0,2,2,1,12,West
True,True,True,True,3,5,999999,5,3,8,0,2,1,1,13,South
True,True,True,True,3,3,999999,3,3,8,0,2,1,1,12,South
True,True,True,True,3,2,999999,2,3,8,0,2,1,1,11,South
True,True,True,True,4,1,999999,1,4,9,0,2,1,1,10,South
True,True,True,True,3,0,999999,3,3,10,0,1,1,1,11,South
True,True,True,True,3,1,1,3,3,10,1,1,1,1,12,South
True,True,True,True,2,2,2,2,2,9,1,1,1,1,13,South
True,True,True,True,2,1,3,1,2,9,1,1,1,1,14,South
True,True,True,True,3,0,5,999999,3,9,1,0,1,1,15,West
True,True,True,True,2,1,1,999999,2,9,2,0,1,1,16,North
True,True,True,True,1,0,4,999999,1,9,1,0,1,1,15,West
True,True,True,True,11,4,4,999999,999999,11,1,0,0,1,16,North
True,True,True,True,11,4,4,999999,999999,11,1,0,0,1,15,North
True,True,True,True,10,3,3,999999,999999,10,1,0,0,1,14,North
True,True,True,True,10,3,3,999999,999999,10,1,0,0,1,13,North
True,True,True,True,10,1,1,999999,999999,10,1,0,0,1,12,North
True,True,True,False,10,1,999999,1,999999,10,0,1,0,1,13,South
True,True,True,True,10,1,999999,1,999999,10,0,1,0,1,12,South
True,True,True,True,10,0,999999,999999,999999,10,0,0,0,1,13,East
