@relation 'data/training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R1-3,10,23-26,31,35-weka.filters.unsupervised.attribute.Remove-R19-22'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute legal_actions_N {True,False}
@attribute legal_actions_S {True,False}
@attribute legal_actions_E {True,False}
@attribute legal_actions_W {True,False}
@attribute number_ghosts numeric
@attribute number_living_ghosts numeric
@attribute mov_ver numeric
@attribute mov_hor numeric
@attribute min_distancia_norte numeric
@attribute min_distancia_sur numeric
@attribute min_distancia_oeste numeric
@attribute min_distancia_este numeric
@attribute num_ghost_N numeric
@attribute num_ghost_S numeric
@attribute num_ghost_W numeric
@attribute num_ghost_E numeric
@attribute distancia_fantasma_cercano numeric
@attribute pac_dots numeric
@attribute nearest_food numeric
@attribute action {North,South,West,East,Stop}

@data
12,10,True,True,True,True,4,4,1,2,2,3,7,1,2,2,2,2,4,1,7,East
13,10,True,True,True,True,4,4,0,1,1,4,8,1,2,2,2,1,4,1,6,East
14,10,True,True,True,True,4,4,0,1,1,4,2,999999,2,2,3,0,3,1,5,East
15,10,True,True,True,True,4,4,2,1,1,4,2,999999,2,2,4,0,5,1,4,East
16,10,True,True,True,True,4,4,4,1,1,5,4,999999,2,2,4,0,7,1,3,East
17,10,True,True,True,True,4,4,5,1,1,4,5,999999,2,2,4,0,7,1,2,East
18,10,True,True,False,True,4,4,6,1,1,4,6,999999,2,2,4,0,9,1,1,Stop
18,10,True,True,False,True,4,4,6,1,1,3,6,999999,2,2,4,0,8,0,-1,South
18,9,True,True,False,True,4,4,6,2,2,2,6,999999,2,2,4,0,10,0,-1,South
18,8,True,True,False,True,4,4,6,1,3,1,6,999999,2,2,4,0,9,0,-1,South
18,7,True,True,False,True,4,4,7,1,4,1,7,999999,2,2,4,0,9,0,-1,South
18,6,True,True,False,True,4,4,7,0,5,1,7,999999,2,1,4,0,7,0,-1,West
17,6,True,True,True,True,4,4,5,0,6,999999,5,999999,2,0,4,0,5,0,-1,West
16,6,True,True,True,True,4,4,5,0,1,999999,5,999999,3,0,4,0,5,0,-1,West
15,6,True,True,True,True,4,4,4,0,6,1,4,999999,2,1,4,0,5,0,-1,West
14,6,True,True,True,True,4,4,3,0,6,2,3,999999,2,1,4,0,5,0,-1,West
13,6,True,True,True,True,4,4,3,0,6,2,3,999999,2,1,4,0,5,0,-1,West
12,6,True,True,True,True,4,4,1,1,6,1,1,999999,2,2,4,0,3,0,-1,South
12,5,True,True,True,True,4,4,2,1,1,1,2,999999,3,1,4,0,3,0,-1,South
12,4,True,True,True,True,4,4,2,1,3,1,2,999999,3,1,4,0,3,0,-1,West
11,4,True,True,True,True,4,4,1,1,4,1,1,999999,3,1,4,0,2,0,-1,West
10,4,True,True,True,True,4,4,1,1,5,1,1,1,3,1,3,1,2,0,-1,West
9,4,True,True,True,True,4,4,0,1,5,1,4,3,3,1,2,1,4,0,-1,West
8,4,True,True,True,True,4,4,1,0,5,999999,3,1,3,0,2,2,4,0,-1,South
8,3,True,False,True,True,4,4,1,2,2,999999,4,1,4,0,2,2,6,0,-1,East
9,3,True,False,True,True,4,4,1,1,1,999999,1,3,4,0,3,1,4,0,-1,East
10,3,True,False,True,True,4,4,2,2,2,999999,3,2,4,0,3,1,4,0,-1,East
11,3,True,False,True,True,4,4,1,2,2,999999,4,1,4,0,3,1,3,0,-1,North
11,4,True,True,True,True,4,4,0,1,1,999999,4,999999,4,0,3,0,1,0,-1,North
11,5,True,True,True,True,4,3,4,3,3,999999,4,999999,3,0,3,0,10,0,-1,North
11,6,True,True,True,True,4,3,5,1,1,999999,5,999999,3,0,3,0,9,0,-1,East
12,6,True,True,True,True,4,3,5,2,2,999999,5,999999,3,0,3,0,11,0,-1,East
13,6,True,True,True,True,4,3,6,2,2,999999,6,999999,3,0,3,0,12,0,-1,West
12,6,True,True,True,True,4,3,4,2,2,999999,4,999999,3,0,3,0,10,0,-1,West
11,6,True,True,True,True,4,3,3,3,3,999999,3,999999,3,0,3,0,8,0,-1,West
10,6,True,True,True,True,4,3,2,3,3,999999,2,999999,3,0,3,0,6,0,-1,West
9,6,True,True,True,True,4,3,1,3,3,999999,1,999999,3,0,3,0,4,0,-1,West
8,6,True,True,True,True,4,3,1,3,3,999999,1,999999,3,0,3,0,4,0,-1,West
7,6,True,True,True,True,4,3,1,3,3,999999,2,1,3,0,2,1,4,0,-1,West
6,6,True,True,True,True,4,3,0,3,3,999999,3,2,3,0,1,1,5,0,-1,West
5,6,True,True,True,True,4,3,1,3,3,999999,1,1,3,0,1,2,4,0,-1,West
4,6,True,True,True,True,4,3,1,3,3,999999,1,3,3,0,1,2,4,0,-1,West
3,6,True,True,True,True,4,3,0,3,3,999999,999999,5,3,0,0,2,3,0,-1,North
3,7,True,True,True,True,4,3,0,1,1,999999,999999,6,3,0,0,2,1,0,-1,North
3,8,True,True,True,True,4,2,7,3,3,999999,999999,7,2,0,0,2,9,0,-1,North
3,9,False,True,True,True,4,2,7,3,3,999999,999999,7,2,0,0,2,10,0,-1,East
4,9,False,True,True,True,4,2,5,3,3,999999,999999,5,2,0,0,2,8,0,-1,East
5,9,False,True,True,True,4,2,4,2,2,999999,999999,4,2,0,0,2,6,0,-1,East
6,9,True,True,True,True,4,2,3,1,1,999999,999999,3,2,0,0,2,4,0,-1,East
7,9,True,True,True,True,4,2,3,1,1,999999,999999,3,2,0,0,2,4,0,-1,North
7,10,True,True,True,True,4,2,3,1,2,1,999999,3,1,1,0,2,4,0,-1,North
7,11,True,True,True,True,4,2,3,1,1,3,999999,3,1,1,0,2,4,0,-1,East
8,11,True,True,True,True,4,2,1,1,1,2,999999,1,1,1,0,2,2,0,-1,East
9,11,True,True,True,True,4,2,1,1,1,3,1,1,1,1,1,1,2,0,-1,East
10,11,True,True,True,True,4,2,0,1,1,4,2,999999,1,1,1,0,3,0,-1,East
11,11,True,True,True,True,4,2,0,2,2,4,3,999999,1,1,1,0,4,0,-1,North
11,12,True,True,True,True,4,2,0,1,1,4,2,999999,1,1,1,0,3,0,-1,North
11,13,True,True,True,True,4,2,1,0,999999,5,1,1,0,1,1,1,1,0,-1,West
10,13,True,True,True,True,4,1,2,5,999999,5,999999,2,0,1,0,1,7,0,-1,West
9,13,True,True,True,True,4,1,3,4,999999,4,999999,3,0,1,0,1,7,0,-1,West
8,13,True,True,True,True,4,1,3,4,999999,4,999999,3,0,1,0,1,7,0,-1,East
9,13,True,True,True,True,4,1,2,5,999999,5,999999,2,0,1,0,1,7,0,-1,South
9,12,True,True,True,True,4,1,2,5,999999,5,999999,2,0,1,0,1,7,0,-1,South
9,11,True,True,True,True,4,1,3,4,999999,4,999999,3,0,1,0,1,7,0,-1,South
9,10,True,True,True,True,4,1,2,3,999999,3,999999,2,0,1,0,1,5,0,-1,South
9,9,True,True,True,True,4,1,2,1,999999,1,999999,2,0,1,0,1,3,0,-1,South
9,8,True,True,True,True,4,1,3,0,999999,999999,999999,3,0,0,0,1,3,0,-1,South
9,7,True,True,True,True,4,1,3,2,2,999999,999999,3,1,0,0,1,5,0,-1,East
10,7,True,True,True,True,4,1,2,3,3,999999,999999,2,1,0,0,1,5,0,-1,East
11,7,True,True,True,True,4,1,1,4,4,999999,999999,1,1,0,0,1,5,0,-1,North
11,8,True,True,True,True,4,1,1,3,3,999999,999999,1,1,0,0,1,4,0,-1,North
11,9,True,True,True,True,4,1,0,2,2,999999,999999,999999,1,0,0,0,2,0,-1,North
11,10,True,True,True,True,4,1,0,2,2,999999,999999,999999,1,0,0,0,2,0,-1,East
12,10,True,True,True,True,4,1,1,3,3,999999,1,999999,1,0,1,0,4,0,-1,North
12,11,True,True,True,True,4,1,1,3,3,999999,1,999999,1,0,1,0,4,0,-1,North
12,12,True,True,True,True,4,1,1,1,1,999999,1,999999,1,0,1,0,2,0,-1,North
12,13,True,True,True,True,4,1,1,1,1,999999,1,999999,1,0,1,0,2,0,-1,West
11,13,True,True,True,True,4,1,1,1,1,999999,999999,1,1,0,0,1,2,0,-1,West
10,13,True,True,True,True,4,1,3,1,1,999999,999999,3,1,0,0,1,4,0,-1,West
9,13,True,True,True,True,4,1,4,0,999999,999999,999999,4,0,0,0,1,4,0,-1,West
8,13,True,True,True,True,4,1,5,1,999999,1,999999,5,0,1,0,1,6,0,-1,East
9,13,True,True,True,True,4,1,3,1,999999,1,999999,3,0,1,0,1,4,0,-1,East
10,13,True,True,True,True,4,1,2,0,999999,999999,999999,2,0,0,0,1,2,0,-1,East
11,13,True,True,True,True,4,1,1,1,1,999999,999999,1,1,0,0,1,2,0,-1,South
11,12,True,True,True,True,4,1,2,2,2,999999,999999,2,1,0,0,1,4,0,-1,South
11,11,True,True,True,True,4,1,2,2,2,999999,999999,2,1,0,0,1,4,0,-1,East
12,11,True,True,True,True,4,1,1,3,3,999999,999999,1,1,0,0,1,4,0,-1,East
13,11,True,True,True,True,4,1,1,3,3,999999,999999,1,1,0,0,1,4,0,-1,East
14,11,True,True,True,True,4,1,0,3,3,999999,999999,999999,1,0,0,0,3,0,-1,North
14,12,True,True,True,True,4,1,0,1,1,999999,999999,999999,1,0,0,0,1,0,-1,North
1,18,False,True,True,False,4,4,4,4,999999,4,999999,4,0,4,0,4,13,0,-1,South
1,17,True,True,False,False,4,4,5,2,999999,2,999999,5,0,4,0,4,13,0,-1,South
1,16,True,True,True,False,4,4,5,1,999999,1,999999,5,0,4,0,4,13,0,-1,South
1,15,True,True,True,False,4,4,5,1,999999,1,999999,5,0,4,0,4,11,0,-1,South
1,14,True,True,True,False,4,4,5,1,1,6,999999,5,1,3,0,4,11,0,-1,South
1,13,True,True,False,False,4,4,5,2,2,4,999999,5,1,3,0,4,9,0,-1,South
1,12,True,True,True,False,4,4,4,3,3,3,999999,4,1,3,0,4,7,0,-1,South
1,11,True,True,False,False,4,4,4,3,3,3,999999,4,1,3,0,4,7,0,-1,South
1,10,True,True,False,False,4,4,4,1,4,1,999999,4,1,3,0,4,5,0,-1,South
1,9,True,True,False,False,4,4,5,0,6,2,999999,5,1,2,0,4,5,0,-1,South
1,8,True,True,False,False,4,4,5,0,7,4,999999,5,1,1,0,4,5,0,-1,South
1,7,True,True,False,False,4,4,5,0,1,4,999999,5,2,1,0,4,5,0,-1,South
1,6,True,True,True,False,4,4,5,2,2,2,999999,5,3,1,0,4,7,0,-1,South
1,5,True,True,True,False,4,4,5,1,3,1,999999,5,3,1,0,4,8,0,-1,East
2,5,True,True,True,True,4,4,4,1,3,1,999999,4,3,1,0,4,7,0,-1,East
3,5,True,True,True,True,4,4,3,1,3,1,999999,3,3,1,0,4,6,0,-1,North
3,6,True,True,True,True,4,4,3,1,1,3,999999,3,3,1,0,4,4,0,-1,North
3,7,True,True,True,False,4,4,3,0,1,3,999999,3,2,1,0,4,3,0,-1,East
4,7,True,True,True,True,4,4,2,1,1,3,999999,2,3,1,0,4,3,0,-1,East
5,7,True,True,True,True,4,4,1,1,1,3,999999,1,3,1,0,4,2,0,-1,East
6,7,True,True,False,True,4,4,0,1,1,4,999999,2,3,1,0,3,1,0,-1,Stop
6,7,True,True,False,True,4,4,0,2,2,4,999999,2,3,1,0,3,2,0,-1,Stop
6,7,True,True,False,True,4,4,0,1,1,4,999999,3,3,1,0,3,1,0,-1,North
6,8,True,True,False,True,4,3,3,1,1,5,999999,3,2,1,0,3,4,0,-1,North
6,9,True,True,False,True,4,3,4,0,5,6,999999,4,1,1,0,3,4,0,-1,North
6,10,False,True,False,True,4,3,4,0,4,6,999999,4,1,1,0,3,4,0,-1,South
6,9,True,True,False,True,4,3,4,2,2,4,999999,4,2,1,0,3,6,0,-1,South
6,8,True,True,False,True,4,3,4,2,2,3,999999,4,2,1,0,3,6,0,-1,South
6,7,True,True,False,True,4,3,4,2,2,2,999999,4,2,1,0,3,6,0,-1,South
6,6,True,False,True,True,4,3,5,1,3,1,999999,5,2,1,0,3,8,0,-1,East
7,6,False,False,True,True,4,3,3,2,3,2,999999,3,2,1,0,3,6,0,-1,East
8,6,True,True,True,True,4,3,2,2,2,2,999999,2,2,1,0,3,4,0,-1,East
