@relation 'data/training_turorial1.arff-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R1-3,10,23-31,35'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute legal_actions_N {True,False}
@attribute legal_actions_S {True,False}
@attribute legal_actions_E {True,False}
@attribute legal_actions_W {True,False}
@attribute number_ghosts numeric
@attribute number_living_ghosts numeric
@attribute mov_ver numeric
@attribute mov_hor numeric
@attribute min_distancia_norte numeric
@attribute min_distancia_sur numeric
@attribute min_distancia_oeste numeric
@attribute min_distancia_este numeric
@attribute num_ghost_N numeric
@attribute num_ghost_S numeric
@attribute num_ghost_W numeric
@attribute num_ghost_E numeric
@attribute distancia_fantasma_cercano numeric
@attribute pac_dots numeric
@attribute nearest_food numeric
@attribute action {North,South,West,East,Stop}

@data
12,10,True,True,True,True,4,4,1,2,2,4,7,1,2,2,2,2,3,1,7,North
12,11,True,True,True,True,4,4,1,0,1,4,7,1,1,2,2,2,1,1,8,North
12,12,True,True,True,True,4,4,0,0,999999,1,7,2,0,3,2,1,3,1,9,South
12,11,True,True,True,True,4,4,1,1,1,4,1,2,2,2,3,1,3,1,8,East
13,11,True,True,True,True,4,4,2,1,1,4,2,2,2,2,3,1,3,1,7,North
13,12,True,True,True,True,4,4,2,0,999999,4,2,3,0,2,3,1,3,1,8,East
14,12,True,True,True,True,4,4,1,0,1,4,2,1,1,2,3,1,1,1,7,East
15,12,True,True,True,True,4,3,4,1,1,4,4,999999,1,2,3,0,9,1,6,South
15,11,True,True,True,True,4,3,4,2,2,4,4,999999,1,2,3,0,9,1,5,South
15,10,True,True,True,True,4,3,4,3,4,3,4,999999,1,2,3,0,7,1,4,South
15,9,True,True,True,True,4,3,4,2,5,2,4,999999,1,2,3,0,6,1,3,South
15,8,True,True,True,True,4,3,5,1,6,1,5,999999,1,2,3,0,6,1,4,South
15,7,True,True,True,True,4,3,5,0,1,999999,5,999999,2,0,3,0,5,1,5,West
14,7,True,True,True,True,4,3,4,1,1,999999,4,999999,3,0,3,0,5,1,6,North
14,8,True,True,True,True,4,3,4,0,1,999999,4,999999,2,0,3,0,5,1,5,North
14,9,True,True,True,True,4,3,4,0,4,1,4,999999,1,1,3,0,4,1,4,West
13,9,True,True,True,True,4,3,2,0,3,1,2,999999,1,1,3,0,2,1,5,West
12,9,True,True,True,True,4,3,1,1,2,1,1,999999,1,2,3,0,2,1,6,South
12,8,True,True,True,True,4,3,2,0,3,1,2,999999,1,1,3,0,2,1,7,West
11,8,True,True,True,True,4,3,1,0,3,1,1,999999,1,1,3,0,1,1,8,West
10,8,True,True,True,True,4,2,5,1,3,1,5,999999,1,1,2,0,8,1,9,South
10,7,True,True,True,True,4,2,5,0,5,999999,5,999999,1,0,2,0,7,1,10,West
9,7,True,True,True,True,4,2,4,1,1,999999,4,999999,2,0,2,0,7,1,11,North
9,8,True,True,True,True,4,2,4,0,4,999999,4,999999,1,0,2,0,5,1,10,West
8,8,True,True,True,True,4,2,2,0,4,999999,2,999999,1,0,2,0,5,1,11,West
7,8,True,True,True,True,4,2,1,1,1,999999,1,999999,2,0,2,0,5,1,12,North
7,9,True,True,True,True,4,2,1,0,4,999999,1,999999,1,0,2,0,4,1,11,West
6,9,True,True,True,True,4,2,1,0,4,999999,4,1,1,0,1,1,4,1,12,West
5,9,False,True,True,True,4,2,2,0,3,999999,3,2,1,0,1,1,3,1,13,West
4,9,False,True,True,True,4,2,2,0,3,999999,3,2,1,0,1,1,3,1,14,West
3,9,False,True,True,True,4,2,2,0,2,999999,2,3,1,0,1,1,2,1,15,West
2,9,False,True,True,True,4,1,4,1,1,999999,999999,4,1,0,0,1,5,1,16,East
3,9,False,True,True,True,4,1,3,1,1,999999,999999,3,1,0,0,1,4,1,15,East
4,9,False,True,True,True,4,1,3,1,1,999999,999999,3,1,0,0,1,4,1,14,East
5,9,False,True,True,True,4,1,3,1,1,999999,999999,3,1,0,0,1,4,1,13,East
6,9,True,True,True,True,4,1,2,0,999999,999999,999999,2,0,0,0,1,2,1,12,East
7,9,True,True,True,True,4,1,1,1,999999,1,999999,1,0,1,0,1,2,1,11,South
7,8,True,True,True,True,4,1,1,0,999999,999999,999999,1,0,0,0,1,1,1,12,East
1,18,False,True,True,False,4,4,4,5,999999,5,999999,4,0,4,0,4,13,0,-1,South
1,17,True,True,False,False,4,4,4,3,999999,3,999999,4,0,4,0,4,13,0,-1,South
1,16,True,True,True,False,4,4,4,2,999999,2,999999,4,0,4,0,4,11,0,-1,South
1,15,True,True,True,False,4,4,3,1,999999,1,999999,3,0,4,0,4,9,0,-1,South
1,14,True,True,True,False,4,4,3,0,999999,4,999999,3,0,3,0,4,7,0,-1,South
1,13,True,True,False,False,4,4,3,1,1,4,999999,3,1,3,0,4,7,0,-1,South
1,12,True,True,True,False,4,4,3,2,2,4,999999,3,1,3,0,4,7,0,-1,South
1,11,True,True,False,False,4,4,3,2,3,2,999999,3,1,3,0,4,5,0,-1,South
1,10,True,True,False,False,4,4,4,1,4,1,999999,4,1,3,0,4,5,0,-1,South
1,9,True,True,False,False,4,4,4,0,4,3,999999,4,1,2,0,4,4,0,-1,South
1,8,True,True,False,False,4,4,4,1,2,1,999999,4,2,2,0,4,6,0,-1,South
1,7,True,True,False,False,4,4,3,0,3,4,999999,3,2,1,0,4,6,0,-1,South
1,6,True,True,True,False,4,4,4,0,4,3,999999,4,2,1,0,4,8,0,-1,East
2,6,False,True,True,True,4,4,3,0,3,3,999999,3,2,1,0,4,6,0,-1,East
3,6,True,True,True,True,4,4,1,1,3,1,999999,1,2,2,0,4,4,0,-1,North
3,7,True,True,True,False,4,4,1,1,1,2,999999,1,2,2,0,4,2,0,-1,North
3,8,True,True,True,False,4,4,1,1,7,1,999999,1,1,3,0,4,2,0,-1,South
3,7,True,True,True,False,4,3,7,2,7,2,999999,7,1,2,0,3,8,0,-1,South
3,6,True,True,True,True,4,3,8,1,7,1,999999,8,1,2,0,3,7,0,-1,East
4,6,True,True,True,True,4,3,7,1,7,1,999999,7,1,2,0,3,8,0,-1,East
5,6,True,True,True,True,4,3,6,2,7,2,999999,6,1,2,0,3,8,0,-1,East
6,6,True,False,True,True,4,3,5,2,8,2,999999,5,1,2,0,3,8,0,-1,East
7,6,False,False,True,True,4,3,4,2,8,2,999999,4,1,2,0,3,6,0,-1,East
8,6,True,True,True,True,4,3,3,1,8,1,999999,3,1,2,0,3,4,0,-1,South
8,5,True,True,True,False,4,3,3,0,8,2,999999,3,1,1,0,3,3,0,-1,East
9,5,True,True,True,True,4,3,2,1,8,1,999999,2,1,2,0,3,3,0,-1,South
9,4,True,True,True,True,4,3,2,0,10,1,999999,2,1,1,0,3,2,0,-1,East
10,4,True,True,True,True,4,3,1,0,11,1,999999,1,1,1,0,3,2,0,-1,South
10,3,True,False,True,True,4,3,1,0,1,999999,999999,1,2,0,0,3,1,0,-1,East
11,3,True,False,False,True,4,2,9,2,2,999999,999999,9,2,0,0,2,10,0,-1,North
11,4,True,True,False,True,4,2,8,1,1,999999,999999,8,2,0,0,2,9,0,-1,North
11,5,True,True,False,True,4,2,7,0,10,999999,999999,7,1,0,0,2,7,0,-1,North
11,6,True,True,False,True,4,2,7,0,10,999999,999999,7,1,0,0,2,7,0,-1,North
11,7,True,True,False,True,4,2,8,1,8,1,999999,8,1,1,0,2,9,0,-1,North
11,8,True,True,False,True,4,2,7,2,7,2,999999,7,1,1,0,2,9,0,-1,North
11,9,True,True,False,True,4,2,7,3,6,3,999999,7,1,1,0,2,10,0,-1,North
11,10,True,True,False,True,4,2,6,4,5,4,999999,6,1,1,0,2,10,0,-1,North
11,11,True,True,False,True,4,2,6,4,4,6,999999,6,1,1,0,2,12,0,-1,North
11,12,False,True,True,True,4,2,7,3,3,7,999999,7,1,1,0,2,13,0,-1,East
12,12,False,False,True,True,4,2,6,4,4,6,999999,6,1,1,0,2,12,0,-1,East
13,12,False,True,True,True,4,2,6,4,4,6,999999,6,1,1,0,2,11,0,-1,South
13,11,True,True,True,False,4,2,5,5,5,5,999999,5,1,1,0,2,10,0,-1,South
13,10,True,True,True,False,4,2,5,4,6,4,999999,5,1,1,0,2,9,0,-1,South
13,9,True,True,True,False,4,2,4,3,7,3,999999,4,1,1,0,2,7,0,-1,South
13,8,True,True,True,False,4,2,4,3,7,3,999999,4,1,1,0,2,7,0,-1,South
13,7,True,True,True,False,4,2,4,1,8,1,999999,4,1,1,0,2,5,0,-1,South
13,6,True,True,True,False,4,2,4,0,8,999999,999999,4,1,0,0,2,4,0,-1,East
14,6,True,True,True,True,4,2,2,0,8,999999,999999,2,1,0,0,2,2,0,-1,East
15,6,False,False,True,True,4,1,9,8,8,999999,999999,9,1,0,0,1,15,0,-1,West
14,6,True,True,True,True,4,1,10,9,9,999999,999999,10,1,0,0,1,14,0,-1,North
14,7,True,True,False,True,4,1,11,8,8,999999,999999,11,1,0,0,1,15,0,-1,North
14,8,True,True,True,True,4,1,11,6,6,999999,999999,11,1,0,0,1,16,0,-1,North
14,9,True,True,False,True,4,1,11,5,5,999999,999999,11,1,0,0,1,16,0,-1,North
14,10,True,True,True,True,4,1,11,3,3,999999,999999,11,1,0,0,1,14,0,-1,North
14,11,True,True,True,True,4,1,11,3,3,999999,999999,11,1,0,0,1,14,0,-1,North
14,12,True,True,True,True,4,1,11,3,3,999999,999999,11,1,0,0,1,14,0,-1,North
14,13,True,True,False,False,4,1,11,1,1,999999,999999,11,1,0,0,1,12,0,-1,North
14,14,True,True,True,True,4,1,10,0,999999,999999,999999,10,0,0,0,1,10,0,-1,East
15,14,True,False,True,True,4,1,8,0,999999,999999,999999,8,0,0,0,1,8,0,-1,East
16,14,True,False,True,True,4,1,7,0,999999,999999,999999,7,0,0,0,1,7,0,-1,East
17,14,True,True,True,True,4,1,6,1,999999,1,999999,6,0,1,0,1,7,0,-1,East
18,14,False,True,True,True,4,1,4,1,999999,1,999999,4,0,1,0,1,5,0,-1,East
19,14,False,True,True,True,4,1,4,1,999999,1,999999,4,0,1,0,1,5,0,-1,East
20,14,True,True,False,True,4,1,2,1,999999,1,999999,2,0,1,0,1,3,0,-1,North
20,15,True,True,True,False,4,1,3,2,999999,2,999999,3,0,1,0,1,5,0,-1,East
21,15,True,False,True,True,4,1,1,2,999999,2,999999,1,0,1,0,1,3,0,-1,East
22,15,True,True,True,True,4,1,1,2,999999,2,999999,1,0,1,0,1,3,0,-1,South
22,14,True,True,True,False,4,1,1,0,999999,999999,999999,1,0,0,0,1,1,0,-1,South
22,13,True,False,True,False,4,1,1,0,999999,999999,999999,1,0,0,0,1,1,0,-1,North
22,14,True,True,True,False,4,1,1,1,999999,1,999999,1,0,1,0,1,2,0,-1,South
22,13,True,False,True,False,4,1,1,0,999999,999999,999999,1,0,0,0,1,1,0,-1,East
1,18,False,True,True,False,4,4,0,9,999999,9,999999,1,0,4,0,3,13,0,-1,South
1,17,True,True,False,False,4,4,0,9,999999,9,999999,4,0,4,0,2,13,0,-1,South
1,16,True,True,True,False,4,4,0,8,999999,8,999999,4,0,4,0,2,12,0,-1,South
1,15,True,True,True,False,4,4,0,7,999999,7,999999,1,0,4,0,3,11,0,-1,South
1,14,True,True,True,False,4,4,0,6,999999,6,999999,1,0,4,0,3,9,0,-1,South
1,13,True,True,False,False,4,4,0,5,999999,5,999999,2,0,4,0,3,7,0,-1,South
1,12,True,True,True,False,4,4,0,4,999999,4,999999,2,0,4,0,3,6,0,-1,South
1,11,True,True,False,False,4,4,0,3,999999,3,999999,2,0,4,0,3,5,0,-1,South
1,10,True,True,False,False,4,4,1,1,999999,1,999999,1,0,4,0,4,3,0,-1,South
1,9,True,True,False,False,4,4,1,0,999999,3,999999,1,0,3,0,4,3,0,-1,South
1,8,True,True,False,False,4,4,2,0,999999,2,999999,2,0,3,0,4,3,0,-1,South
1,7,True,True,False,False,4,4,3,1,2,1,999999,3,1,3,0,4,4,0,-1,South
1,6,True,True,True,False,4,4,3,0,3,2,999999,3,1,2,0,4,3,0,-1,East
2,6,False,True,True,True,4,4,2,1,3,1,999999,2,1,3,0,4,3,0,-1,South
2,5,True,True,True,True,4,4,2,0,3,2,999999,2,1,2,0,4,2,0,-1,East
3,5,True,True,True,True,4,4,0,0,3,2,999999,1,1,2,0,3,2,0,-1,South
3,4,True,True,True,True,4,3,1,1,2,1,999999,1,2,1,0,3,3,0,-1,North
3,5,True,True,True,True,4,3,0,0,2,2,999999,2,1,1,0,2,2,0,-1,East
4,5,True,True,True,True,4,3,1,1,1,2,1,1,2,1,1,2,2,0,-1,North
4,6,True,True,True,True,4,3,1,1,1,2,1,1,2,1,1,2,2,0,-1,North
4,7,True,True,True,True,4,3,1,0,1,2,1,1,1,1,1,2,1,0,-1,West
3,7,True,True,True,False,4,2,2,1,1,3,999999,2,1,1,0,2,3,0,-1,North
3,8,True,True,True,False,4,2,2,1,1,5,999999,2,1,1,0,2,3,0,-1,North
3,9,True,True,True,False,4,2,1,0,999999,6,999999,1,0,1,0,2,1,0,-1,East
4,9,True,True,True,True,4,1,4,5,999999,5,999999,4,0,1,0,1,9,0,-1,South
4,8,True,True,True,True,4,1,4,4,999999,4,999999,4,0,1,0,1,8,0,-1,South
4,7,True,True,True,True,4,1,4,3,999999,3,999999,4,0,1,0,1,7,0,-1,South
4,6,True,True,True,True,4,1,4,3,999999,3,999999,4,0,1,0,1,6,0,-1,South
4,5,True,True,True,True,4,1,5,2,999999,2,999999,5,0,1,0,1,5,0,-1,South
4,4,True,True,True,True,4,1,4,1,999999,1,999999,4,0,1,0,1,4,0,-1,South
4,3,True,False,True,True,4,1,5,0,999999,999999,999999,5,0,0,0,1,3,0,-1,East
5,3,True,False,True,True,4,1,5,0,999999,999999,999999,5,0,0,0,1,2,0,-1,East
6,3,False,False,True,True,4,1,3,0,999999,999999,999999,3,0,0,0,1,3,0,-1,East
7,3,False,False,True,True,4,1,2,0,999999,999999,999999,2,0,0,0,1,2,0,-1,East
1,11,False,True,True,False,4,4,5,0,999999,2,999999,5,0,3,0,4,7,2,14,South
1,10,True,True,False,False,4,4,4,1,1,2,999999,4,1,3,0,4,7,2,13,South
1,9,True,True,True,False,4,4,5,0,2,4,999999,5,1,2,0,4,5,2,12,East
2,9,False,True,True,True,4,4,3,1,1,4,999999,3,2,2,0,4,5,2,11,East
3,9,False,True,True,True,4,4,2,0,2,4,999999,2,1,2,0,4,3,2,10,East
4,9,False,True,True,True,4,4,0,1,2,1,999999,2,1,3,0,3,3,2,9,South
4,8,True,True,True,True,4,4,1,1,1,3,999999,1,2,2,0,4,3,2,8,North
4,9,False,True,True,True,4,4,1,0,2,4,999999,1,1,2,0,4,2,2,9,East
5,9,True,True,True,True,4,4,1,1,2,1,1,1,1,3,1,3,2,2,8,South
5,8,True,True,True,True,4,3,1,3,3,3,1,4,1,2,1,2,6,2,7,North
5,9,True,True,True,True,4,3,0,2,2,4,999999,3,1,2,0,2,5,2,8,North
5,10,True,True,True,False,4,3,1,1,1,5,999999,1,1,2,0,3,4,2,9,North
5,11,False,True,True,True,4,3,1,0,999999,6,999999,1,0,2,0,3,4,2,10,East
6,11,False,True,True,True,4,3,0,0,999999,7,999999,3,0,2,0,2,3,2,9,East
7,11,False,False,True,True,4,3,1,0,999999,6,1,3,0,2,1,2,3,2,8,East
8,11,False,False,True,True,4,3,2,0,999999,6,2,2,0,2,1,2,2,2,7,East
9,11,False,False,True,True,4,3,1,0,999999,6,4,1,0,2,1,2,1,2,6,East
10,11,False,True,True,True,4,2,0,7,999999,7,5,999999,0,2,1,0,7,2,5,South
10,10,True,True,True,False,4,2,1,6,999999,6,1,999999,0,2,2,0,7,2,4,South
10,9,True,True,True,True,4,2,2,5,999999,5,2,999999,0,2,2,0,7,2,3,South
10,8,True,True,False,True,4,2,2,4,999999,4,2,999999,0,2,2,0,6,2,2,South
10,7,True,True,False,True,4,2,1,3,999999,3,1,999999,0,2,2,0,4,1,7,South
10,6,True,True,False,True,4,2,0,1,999999,1,7,999999,0,2,1,0,2,1,8,South
10,5,True,True,True,True,4,2,1,0,999999,1,6,1,0,1,1,1,2,1,9,South
10,4,True,True,True,True,4,2,1,1,1,999999,5,1,2,0,1,1,2,1,10,East
11,4,True,True,False,True,4,2,1,1,1,999999,1,999999,2,0,2,0,2,1,9,North
11,5,False,True,True,True,4,2,1,1,999999,1,1,999999,0,2,2,0,2,1,8,West
10,5,True,True,True,True,4,2,0,1,999999,1,3,999999,0,2,1,0,1,1,9,South
10,4,True,True,True,True,4,1,3,1,1,999999,3,999999,1,0,1,0,4,1,10,North
10,5,True,True,True,True,4,1,3,0,999999,999999,3,999999,0,0,1,0,3,1,9,West
9,5,True,True,True,True,4,1,2,0,999999,999999,2,999999,0,0,1,0,2,1,10,West
