@relation data/training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R37

@attribute TICK numeric
@attribute width numeric
@attribute height numeric
@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute legal_actions_N {True,False}
@attribute legal_actions_S {True,False}
@attribute legal_actions_E {True,False}
@attribute legal_actions_W {True,False}
@attribute direction {North,South,West,East,Stop}
@attribute number_ghosts numeric
@attribute number_living_ghosts numeric
@attribute mov_ver numeric
@attribute mov_hor numeric
@attribute min_distancia_norte numeric
@attribute min_distancia_sur numeric
@attribute min_distancia_oeste numeric
@attribute min_distancia_este numeric
@attribute num_ghost_N numeric
@attribute num_ghost_S numeric
@attribute num_ghost_W numeric
@attribute num_ghost_E numeric
@attribute num_ghost_ori_N numeric
@attribute num_ghost_ori_S numeric
@attribute num_ghost_ori_W numeric
@attribute num_ghost_ori_E numeric
@attribute direccion_fantasma_N {North,South,West,East,Stop,None}
@attribute direccion_fantasma_S {North,South,West,East,Stop,None}
@attribute direccion_fantasma_W {North,South,West,East,Stop,None}
@attribute direccion_fantasma_E {North,South,West,East,Stop,None}
@attribute direccion_fantasma_cercano {North,South,West,East,Stop}
@attribute distancia_fantasma_cercano numeric
@attribute pac_dots numeric
@attribute nearest_food numeric
@attribute SCORE numeric
@attribute action {North,South,West,East,Stop}

@data
9,20,16,12,10,True,True,True,True,Stop,4,4,1,2,2,3,7,1,2,2,2,2,0,0,1,3,West,East,East,East,East,4,1,7,-8,East
10,20,16,13,10,True,True,True,True,East,4,4,0,1,1,4,8,1,2,2,2,1,0,2,0,2,South,South,East,East,South,4,1,6,-9,East
11,20,16,14,10,True,True,True,True,East,4,4,0,1,1,4,2,999999,2,2,3,0,0,1,2,1,West,West,West,None,South,3,1,5,-10,East
12,20,16,15,10,True,True,True,True,East,4,4,2,1,1,4,2,999999,2,2,4,0,0,0,4,0,West,West,West,None,West,5,1,4,-11,East
13,20,16,16,10,True,True,True,True,East,4,4,4,1,1,5,4,999999,2,2,4,0,0,1,2,1,East,West,West,None,West,7,1,3,-12,East
14,20,16,17,10,True,True,True,True,East,4,4,5,1,1,4,5,999999,2,2,4,0,1,2,0,1,East,North,South,None,South,7,1,2,-13,East
15,20,16,18,10,True,True,False,True,East,4,4,6,1,1,4,6,999999,2,2,4,0,2,0,2,0,West,West,North,None,North,9,1,1,-14,Stop
16,20,16,18,10,True,True,False,True,East,4,4,6,1,1,3,6,999999,2,2,4,0,1,1,2,0,West,North,South,None,South,8,0,-1,-15,South
17,20,16,18,9,True,True,False,True,South,4,4,6,2,2,2,6,999999,2,2,4,0,1,0,2,1,East,West,North,None,West,10,0,-1,84,South
18,20,16,18,8,True,True,False,True,South,4,4,6,1,3,1,6,999999,2,2,4,0,0,1,1,2,East,West,South,None,West,9,0,-1,83,South
19,20,16,18,7,True,True,False,True,South,4,4,7,1,4,1,7,999999,2,2,4,0,0,2,1,1,East,South,West,None,South,9,0,-1,82,South
20,20,16,18,6,True,True,False,True,South,4,4,7,0,5,1,7,999999,2,1,4,0,0,1,1,2,East,South,East,None,East,7,0,-1,81,West
21,20,16,17,6,True,True,True,True,West,4,4,5,0,6,999999,5,999999,2,0,4,0,2,0,1,1,North,None,East,None,East,5,0,-1,80,West
22,20,16,16,6,True,True,True,True,West,4,4,5,0,1,999999,5,999999,3,0,4,0,1,1,2,0,North,None,West,None,West,5,0,-1,79,West
23,20,16,15,6,True,True,True,True,West,4,4,4,0,6,1,4,999999,2,1,4,0,1,2,1,0,North,South,South,None,South,5,0,-1,78,West
24,20,16,14,6,True,True,True,True,West,4,4,3,0,6,2,3,999999,2,1,4,0,0,2,1,1,East,South,South,None,South,5,0,-1,77,West
25,20,16,13,6,True,True,True,True,West,4,4,3,0,6,2,3,999999,2,1,4,0,1,1,2,0,West,West,West,None,West,5,0,-1,76,West
26,20,16,12,6,True,True,True,True,West,4,4,1,1,6,1,1,999999,2,2,4,0,0,1,1,2,East,South,East,None,East,3,0,-1,75,South
27,20,16,12,5,True,True,True,True,South,4,4,2,1,1,1,2,999999,3,1,4,0,1,0,2,1,North,West,West,None,West,3,0,-1,74,South
