 @RELATION data/training_turorial1.arff
   @ATTRIBUTE TICK NUMERIC
   @ATTRIBUTE width NUMERIC
   @ATTRIBUTE height NUMERIC
   @ATTRIBUTE pacman_position_x NUMERIC
   @ATTRIBUTE pacman_position_y NUMERIC
   @ATTRIBUTE legal_actions_N {True,False}
   @ATTRIBUTE legal_actions_S {True,False}
   @ATTRIBUTE legal_actions_E {True,False}   
   @ATTRIBUTE legal_actions_W {True,False}   
   @ATTRIBUTE direction {North,South,West,East,Stop}
   @ATTRIBUTE number_ghosts NUMERIC
   @ATTRIBUTE number_living_ghosts NUMERIC
   @ATTRIBUTE mov_ver NUMERIC
   @ATTRIBUTE mov_hor NUMERIC
   @ATTRIBUTE min_distancia_norte NUMERIC
   @ATTRIBUTE min_distancia_sur NUMERIC
   @ATTRIBUTE min_distancia_oeste NUMERIC
   @ATTRIBUTE min_distancia_este NUMERIC
   @ATTRIBUTE num_ghost_N NUMERIC
   @ATTRIBUTE num_ghost_S NUMERIC
   @ATTRIBUTE num_ghost_W NUMERIC
   @ATTRIBUTE num_ghost_E NUMERIC
   @ATTRIBUTE num_ghost_ori_N NUMERIC
   @ATTRIBUTE num_ghost_ori_S NUMERIC
   @ATTRIBUTE num_ghost_ori_W NUMERIC
   @ATTRIBUTE num_ghost_ori_E NUMERIC
   @ATTRIBUTE direccion_fantasma_N {North,South,West,East,Stop,None}
   @ATTRIBUTE direccion_fantasma_S {North,South,West,East,Stop,None}
   @ATTRIBUTE direccion_fantasma_W {North,South,West,East,Stop,None}
   @ATTRIBUTE direccion_fantasma_E {North,South,West,East,Stop,None}
   @ATTRIBUTE direccion_fantasma_cercano {North,South,West,East,Stop}   
   @ATTRIBUTE distancia_fantasma_cercano NUMERIC
   @ATTRIBUTE pac_dots NUMERIC
   @ATTRIBUTE nearest_food NUMERIC
   @ATTRIBUTE SCORE NUMERIC
   @ATTRIBUTE action {North,South,West,East,Stop}
   @ATTRIBUTE NEXT_SCORE NUMERIC

   @data

    1, 20, 16, 12, 10, True, True, True, True, Stop, 4, 4, 1, 2, 2, 4, 7, 1, 2, 2, 2, 2, 0, 0, 0, 0, Stop, Stop, Stop, Stop, Stop, 3, 1, 7, 0,North, -1
2, 20, 16, 12, 11, True, True, True, True, North, 4, 4, 1, 0, 1, 4, 7, 1, 1, 2, 2, 2, 1, 1, 1, 0, West, North, North, Stop, South, 1, 1, 8, -1,North, -2
3, 20, 16, 12, 12, True, True, True, True, North, 4, 4, 0, 0, 999999, 1, 7, 2, 0, 3, 2, 1, 0, 0, 2, 2, None, East, East, East, East, 3, 1, 9, -2,South, -3
4, 20, 16, 12, 11, True, True, True, True, South, 4, 4, 1, 1, 1, 4, 1, 2, 2, 2, 3, 1, 1, 0, 2, 1, West, East, West, North, North, 3, 1, 8, -3,East, -4
5, 20, 16, 13, 11, True, True, True, True, East, 4, 4, 2, 1, 1, 4, 2, 2, 2, 2, 3, 1, 1, 0, 0, 3, East, East, North, East, East, 3, 1, 7, -4,North, -5
6, 20, 16, 13, 12, True, True, True, True, North, 4, 4, 2, 0, 999999, 4, 2, 3, 0, 2, 3, 1, 2, 0, 0, 2, None, North, North, East, East, 3, 1, 8, -5,East, -6
7, 20, 16, 14, 12, True, True, True, True, East, 4, 4, 1, 0, 1, 4, 2, 1, 1, 2, 3, 1, 2, 0, 0, 1, North, North, East, Stop, Stop, 1, 1, 7, -6,East, 193
8, 20, 16, 15, 12, True, True, True, True, East, 4, 3, 4, 1, 1, 4, 4, 999999, 1, 2, 3, 0, 0, 0, 1, 2, East, East, West, None, West, 9, 1, 6, 193,South, 192
9, 20, 16, 15, 11, True, True, True, True, South, 4, 3, 4, 2, 2, 4, 4, 999999, 1, 2, 3, 0, 0, 2, 0, 1, East, South, South, None, South, 9, 1, 5, 192,South, 191
10, 20, 16, 15, 10, True, True, True, True, South, 4, 3, 4, 3, 4, 3, 4, 999999, 1, 2, 3, 0, 2, 0, 0, 1, North, East, North, None, North, 7, 1, 4, 191,South, 190
11, 20, 16, 15, 9, True, True, True, True, South, 4, 3, 4, 2, 5, 2, 4, 999999, 1, 2, 3, 0, 1, 0, 2, 0, West, West, North, None, North, 6, 1, 3, 190,South, 189
12, 20, 16, 15, 8, True, True, True, True, South, 4, 3, 5, 1, 6, 1, 5, 999999, 1, 2, 3, 0, 0, 0, 3, 0, West, West, West, None, West, 6, 1, 4, 189,South, 188
13, 20, 16, 15, 7, True, True, True, True, South, 4, 3, 5, 0, 1, 999999, 5, 999999, 2, 0, 3, 0, 1, 1, 1, 0, North, None, West, None, West, 5, 1, 5, 188,West, 187
14, 20, 16, 14, 7, True, True, True, True, West, 4, 3, 4, 1, 1, 999999, 4, 999999, 3, 0, 3, 0, 2, 1, 0, 0, North, None, North, None, North, 5, 1, 6, 187,North, 186
15, 20, 16, 14, 8, True, True, True, True, North, 4, 3, 4, 0, 1, 999999, 4, 999999, 2, 0, 3, 0, 1, 0, 0, 2, North, None, North, None, North, 5, 1, 5, 186,North, 185
16, 20, 16, 14, 9, True, True, True, True, North, 4, 3, 4, 0, 4, 1, 4, 999999, 1, 1, 3, 0, 1, 0, 0, 2, East, East, North, None, North, 4, 1, 4, 185,West, 184
17, 20, 16, 13, 9, True, True, True, True, West, 4, 3, 2, 0, 3, 1, 2, 999999, 1, 1, 3, 0, 0, 1, 1, 1, South, West, East, None, East, 2, 1, 5, 184,West, 183
18, 20, 16, 12, 9, True, True, True, True, West, 4, 3, 1, 1, 2, 1, 1, 999999, 1, 2, 3, 0, 0, 2, 1, 0, South, West, South, None, South, 2, 1, 6, 183,South, 182
19, 20, 16, 12, 8, True, True, True, True, South, 4, 3, 2, 0, 3, 1, 2, 999999, 1, 1, 3, 0, 0, 1, 2, 0, West, South, West, None, West, 2, 1, 7, 182,West, 181
20, 20, 16, 11, 8, True, True, True, True, West, 4, 3, 1, 0, 3, 1, 1, 999999, 1, 1, 3, 0, 0, 0, 1, 1, East, West, Stop, None, Stop, 1, 1, 8, 181,West, 380
21, 20, 16, 10, 8, True, True, True, True, West, 4, 2, 5, 1, 3, 1, 5, 999999, 1, 1, 2, 0, 0, 0, 2, 0, West, West, West, None, West, 8, 1, 9, 380,South, 379
22, 20, 16, 10, 7, True, True, True, True, South, 4, 2, 5, 0, 5, 999999, 5, 999999, 1, 0, 2, 0, 1, 0, 1, 0, North, None, North, None, West, 7, 1, 10, 379,West, 378
23, 20, 16, 9, 7, True, True, True, True, West, 4, 2, 4, 1, 1, 999999, 4, 999999, 2, 0, 2, 0, 2, 0, 0, 0, North, None, North, None, North, 7, 1, 11, 378,North, 377
24, 20, 16, 9, 8, True, True, True, True, North, 4, 2, 4, 0, 4, 999999, 4, 999999, 1, 0, 2, 0, 0, 1, 0, 1, South, None, South, None, East, 5, 1, 10, 377,West, 376
25, 20, 16, 8, 8, True, True, True, True, West, 4, 2, 2, 0, 4, 999999, 2, 999999, 1, 0, 2, 0, 0, 0, 1, 1, East, None, East, None, West, 5, 1, 11, 376,West, 375
26, 20, 16, 7, 8, True, True, True, True, West, 4, 2, 1, 1, 1, 999999, 1, 999999, 2, 0, 2, 0, 1, 0, 0, 1, North, None, East, None, North, 5, 1, 12, 375,North, 374
27, 20, 16, 7, 9, True, True, True, True, North, 4, 2, 1, 0, 4, 999999, 1, 999999, 1, 0, 2, 0, 2, 0, 0, 0, North, None, North, None, North, 4, 1, 11, 374,West, 373
28, 20, 16, 6, 9, True, True, True, True, West, 4, 2, 1, 0, 4, 999999, 4, 1, 1, 0, 1, 1, 0, 0, 1, 1, East, None, West, East, West, 4, 1, 12, 373,West, 372
29, 20, 16, 5, 9, False, True, True, True, West, 4, 2, 2, 0, 3, 999999, 3, 2, 1, 0, 1, 1, 0, 1, 1, 0, South, None, West, South, West, 3, 1, 13, 372,West, 371
30, 20, 16, 4, 9, False, True, True, True, West, 4, 2, 2, 0, 3, 999999, 3, 2, 1, 0, 1, 1, 0, 0, 2, 0, West, None, West, West, West, 3, 1, 14, 371,West, 370
31, 20, 16, 3, 9, False, True, True, True, West, 4, 2, 2, 0, 2, 999999, 2, 3, 1, 0, 1, 1, 0, 1, 1, 0, South, None, West, South, West, 2, 1, 15, 370,West, 369
32, 20, 16, 2, 9, False, True, True, True, West, 4, 1, 4, 1, 1, 999999, 999999, 4, 1, 0, 0, 1, 0, 1, 0, 0, South, None, None, South, South, 5, 1, 16, 569,East, 568
33, 20, 16, 3, 9, False, True, True, True, East, 4, 1, 3, 1, 1, 999999, 999999, 3, 1, 0, 0, 1, 0, 1, 0, 0, South, None, None, South, South, 4, 1, 15, 568,East, 567
34, 20, 16, 4, 9, False, True, True, True, East, 4, 1, 3, 1, 1, 999999, 999999, 3, 1, 0, 0, 1, 0, 0, 0, 1, East, None, None, East, East, 4, 1, 14, 567,East, 566
35, 20, 16, 5, 9, False, True, True, True, East, 4, 1, 3, 1, 1, 999999, 999999, 3, 1, 0, 0, 1, 0, 0, 0, 1, East, None, None, East, East, 4, 1, 13, 566,East, 565
36, 20, 16, 6, 9, True, True, True, True, East, 4, 1, 2, 0, 999999, 999999, 999999, 2, 0, 0, 0, 1, 0, 1, 0, 0, None, None, None, South, South, 2, 1, 12, 565,East, 564
37, 20, 16, 7, 9, True, True, True, True, East, 4, 1, 1, 1, 999999, 1, 999999, 1, 0, 1, 0, 1, 0, 1, 0, 0, None, South, None, South, South, 2, 1, 11, 564,South, 563
38, 20, 16, 7, 8, True, True, True, True, South, 4, 1, 1, 0, 999999, 999999, 999999, 1, 0, 0, 0, 1, 0, 0, 0, 0, None, None, None, Stop, Stop, 1, 1, 12, 563,East, 762
1, 27, 20, 1, 18, False, True, True, False, Stop, 4, 4, 4, 5, 999999, 5, 999999, 4, 0, 4, 0, 4, 0, 0, 0, 0, None, Stop, None, Stop, Stop, 13, 0, -1, 0,South, -1
2, 27, 20, 1, 17, True, True, False, False, South, 4, 4, 4, 3, 999999, 3, 999999, 4, 0, 4, 0, 4, 1, 1, 1, 0, None, North, None, South, South, 13, 0, -1, -1,South, -2
3, 27, 20, 1, 16, True, True, True, False, South, 4, 4, 4, 2, 999999, 2, 999999, 4, 0, 4, 0, 4, 2, 0, 2, 0, None, West, None, North, North, 11, 0, -1, -2,South, -3
4, 27, 20, 1, 15, True, True, True, False, South, 4, 4, 3, 1, 999999, 1, 999999, 3, 0, 4, 0, 4, 1, 0, 2, 1, None, East, None, West, West, 9, 0, -1, -3,South, -4
5, 27, 20, 1, 14, True, True, True, False, South, 4, 4, 3, 0, 999999, 4, 999999, 3, 0, 3, 0, 4, 2, 0, 2, 0, None, North, None, North, North, 7, 0, -1, -4,South, -5
