
@RELATION training_tutorial1

   @ATTRIBUTE TICK NUMERIC
   @ATTRIBUTE width NUMERIC
   @ATTRIBUTE height NUMERIC
   @ATTRIBUTE pacman_position_x NUMERIC
   @ATTRIBUTE pacman_position_y NUMERIC
   @ATTRIBUTE legal_actions_N {True,False}
   @ATTRIBUTE legal_actions_S {True,False}
   @ATTRIBUTE legal_actions_E {True,False}   
   @ATTRIBUTE legal_actions_W {True,False}   
   @ATTRIBUTE direction {North,South,West,East,Stop}
   @ATTRIBUTE number_ghosts NUMERIC
   @ATTRIBUTE number_living_ghosts NUMERIC
   @ATTRIBUTE mov_ver NUMERIC
   @ATTRIBUTE mov_hor NUMERIC
   @ATTRIBUTE min_distancia_norte NUMERIC
   @ATTRIBUTE min_distancia_sur NUMERIC
   @ATTRIBUTE min_distancia_oeste NUMERIC
   @ATTRIBUTE min_distancia_este NUMERIC
   @ATTRIBUTE num_ghost_N NUMERIC
   @ATTRIBUTE num_ghost_S NUMERIC
   @ATTRIBUTE num_ghost_W NUMERIC
   @ATTRIBUTE num_ghost_E NUMERIC
   @ATTRIBUTE num_ghost_ori_N NUMERIC
   @ATTRIBUTE num_ghost_ori_S NUMERIC
   @ATTRIBUTE num_ghost_ori_W NUMERIC
   @ATTRIBUTE num_ghost_ori_E NUMERIC
   @ATTRIBUTE direccion_fantasma_N {North,South,West,East,Stop,None}
   @ATTRIBUTE direccion_fantasma_S {North,South,West,East,Stop,None}
   @ATTRIBUTE direccion_fantasma_W {North,South,West,East,Stop,None}
   @ATTRIBUTE direccion_fantasma_E {North,South,West,East,Stop,None}
   @ATTRIBUTE direccion_fantasma_cercano {North,South,West,East,Stop}   
   @ATTRIBUTE distancia_fantasma_cercano NUMERIC
   @ATTRIBUTE pac_dots NUMERIC
   @ATTRIBUTE nearest_food NUMERIC
   @ATTRIBUTE SCORE NUMERIC
   @ATTRIBUTE action {North,South,West,East,Stop}
   @ATTRIBUTE NEXT_SCORE NUMERIC
   
   @data
1, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 5, -6, 999999, 2, 5, 999999, 0, 3, 4, 0, 0, 0, 0, 0, None, Stop, Stop, None, Stop, 7, 2, 14, 0,Stop, -1
2, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 5, -6, 999999, 2, 5, 999999, 0, 3, 4, 0, 0, 0, 0, 2, None, East, Stop, None, East, 8, 2, 14, -1,Stop, -2
3, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 6, -6, 999999, 2, 6, 999999, 0, 3, 4, 0, 1, 0, 1, 2, None, East, East, None, West, 7, 2, 14, -2,Stop, -3
4, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 7, -6, 999999, 2, 7, 999999, 0, 3, 4, 0, 0, 1, 1, 2, None, East, East, None, West, 7, 2, 14, -3,Stop, -4
5, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 6, -5, 999999, 2, 6, 999999, 0, 3, 4, 0, 2, 0, 1, 1, None, East, West, None, West, 6, 2, 14, -4,Stop, -5
6, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 7, -5, 999999, 2, 7, 999999, 0, 3, 4, 0, 1, 0, 1, 2, None, East, North, None, East, 7, 2, 14, -5,Stop, -6
7, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 7, -5, 999999, 2, 7, 999999, 0, 3, 4, 0, 1, 0, 0, 3, None, East, North, None, East, 7, 2, 14, -6,Stop, -7
8, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 7, -5, 999999, 3, 7, 999999, 0, 3, 4, 0, 1, 1, 0, 2, None, South, East, None, East, 7, 2, 14, -7,Stop, -8
9, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 7, -4, 999999, 3, 7, 999999, 0, 3, 4, 0, 1, 0, 1, 2, None, West, West, None, East, 7, 2, 14, -8,Stop, -9
10, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 6, -4, 999999, 3, 6, 999999, 0, 3, 4, 0, 1, 0, 3, 0, None, West, West, None, West, 6, 2, 14, -9,Stop, -10
