@relation data/training_tutorial1.arff-weka.filters.unsupervised.attribute.Remove-R49

@attribute TICK numeric
@attribute width numeric
@attribute height numeric
@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute legal_actions_N {True,False}
@attribute legal_actions_S {True,False}
@attribute legal_actions_E {True,False}
@attribute legal_actions_W {True,False}
@attribute direction {North,South,West,East,Stop}
@attribute number_ghosts numeric
@attribute number_living_ghosts numeric
@attribute mov_ver numeric
@attribute mov_hor numeric
@attribute min_distancia_norte numeric
@attribute min_distancia_sur numeric
@attribute min_distancia_oeste numeric
@attribute min_distancia_este numeric
@attribute vision_SW {True,False,Ghost}
@attribute vision_W {True,False,Ghost}
@attribute vision_NW {True,False,Ghost}
@attribute vision_S {True,False,Ghost}
@attribute vision_N {True,False,Ghost}
@attribute vision_SE {True,False,Ghost}
@attribute vision_E {True,False,Ghost}
@attribute vision_NE {True,False,Ghost}
@attribute distancia_pared_norte numeric
@attribute distancia_pared_sur numeric
@attribute distancia_pared_este numeric
@attribute distancia_pared_oeste numeric
@attribute num_ghost_N numeric
@attribute num_ghost_S numeric
@attribute num_ghost_W numeric
@attribute num_ghost_E numeric
@attribute num_ghost_ori_N numeric
@attribute num_ghost_ori_S numeric
@attribute num_ghost_ori_W numeric
@attribute num_ghost_ori_E numeric
@attribute direccion_fantasma_N {North,South,West,East,Stop,None}
@attribute direccion_fantasma_S {North,South,West,East,Stop,None}
@attribute direccion_fantasma_W {North,South,West,East,Stop,None}
@attribute direccion_fantasma_E {North,South,West,East,Stop,None}
@attribute direccion_fantasma_cercano {North,South,West,East,Stop}
@attribute distancia_fantasma_cercano numeric
@attribute pac_dots numeric
@attribute nearest_food numeric
@attribute SCORE numeric
@attribute action {North,South,West,East,Stop}

@data
1,20,16,12,10,True,True,True,True,Stop,4,4,1,2,2,4,7,1,False,False,False,False,False,False,False,False,5,8,7,7,2,2,2,2,0,0,0,0,Stop,Stop,Stop,Stop,Stop,3,1,7,0,North
2,20,16,12,11,True,True,True,True,North,4,4,0,1,1,5,7,1,False,False,False,False,Ghost,False,False,False,4,9,7,12,2,2,2,1,1,1,0,0,Stop,Stop,South,Stop,Stop,1,1,8,-1,North
3,20,16,12,12,True,True,True,True,North,4,3,2,2,2,6,6,2,False,False,False,False,False,False,False,False,3,10,7,12,1,2,2,1,1,0,0,2,North,East,East,East,East,8,1,9,198,South
4,20,16,12,11,True,True,True,True,South,4,3,2,3,3,6,6,2,False,False,False,False,False,False,False,False,4,9,7,12,1,2,2,1,0,2,1,0,West,South,South,South,South,8,1,8,197,South
5,20,16,12,10,True,True,True,True,South,4,3,3,4,4,5,6,3,False,False,False,False,False,False,False,False,5,8,7,7,1,2,2,1,0,1,1,1,West,East,South,East,East,8,1,7,196,South
6,20,16,12,9,True,True,True,True,South,4,3,3,4,5,4,6,3,False,False,False,False,False,False,False,False,6,7,7,12,1,2,2,1,1,0,0,2,East,North,North,East,East,7,1,6,195,South
7,20,16,12,8,True,True,True,True,South,4,3,3,3,6,3,7,3,False,False,False,False,False,False,False,False,7,6,7,12,1,2,2,1,0,0,2,1,West,West,West,East,East,6,1,7,194,South
8,20,16,12,7,True,True,True,True,South,4,3,2,1,7,1,7,2,False,False,False,False,False,False,False,False,8,5,7,12,1,2,2,1,1,0,2,0,West,North,North,West,West,4,1,8,193,South
9,20,16,12,6,True,True,True,True,South,4,3,2,0,8,1,8,2,False,False,False,False,False,False,False,False,9,4,7,12,1,1,2,1,0,0,3,0,West,West,West,West,West,3,1,9,192,South
10,20,16,12,5,True,True,True,True,South,4,3,1,0,1,999999,7,1,False,False,False,False,False,False,Ghost,False,10,3,7,12,2,0,2,1,0,0,1,1,East,None,East,Stop,Stop,1,1,10,191,East
11,20,16,13,5,True,True,True,True,East,4,2,9,1,1,999999,9,999999,False,False,False,False,False,False,False,False,10,3,6,13,2,0,2,0,0,1,1,0,West,None,West,None,West,10,1,9,390,North
12,20,16,13,6,True,True,True,True,North,4,2,9,0,7,999999,9,999999,False,False,False,False,False,False,False,False,9,4,6,13,1,0,2,0,0,1,1,0,South,None,West,None,West,9,1,8,389,West
13,20,16,12,6,True,True,True,True,West,4,2,8,0,7,999999,8,999999,False,False,False,False,False,False,False,False,9,4,7,12,1,0,2,0,0,0,1,1,East,None,West,None,West,8,1,9,388,West
14,20,16,11,6,True,True,True,True,West,4,2,7,1,7,1,7,999999,False,False,False,False,False,False,False,False,9,4,8,11,1,1,2,0,0,1,1,0,West,South,South,None,South,8,1,10,387,South
1,27,20,1,18,False,True,True,False,Stop,4,4,4,5,999999,5,999999,4,True,True,True,False,True,True,False,True,1,16,25,1,0,4,0,4,0,0,0,0,None,Stop,None,Stop,Stop,13,0,-1,0,South
2,27,20,1,17,True,True,False,False,South,4,4,5,4,999999,4,999999,5,True,True,True,False,False,False,True,False,2,15,1,1,0,4,0,4,0,1,0,1,None,Stop,None,East,East,13,0,-1,-1,South
3,27,20,1,16,True,True,True,False,South,4,4,5,2,999999,2,999999,5,True,True,True,False,False,True,False,True,3,14,17,1,0,4,0,4,2,1,0,1,None,North,None,South,South,13,0,-1,-2,South
